id,name,category,focus,ages,levels,min_players,max_players,duration_min,intensity,equipment,description,coaching_points,easier,harder,needs_basket,space,sideline_ok,supervision,game_format,source,variants,game_like,concepts,themes
WU11,Animal Walks,warmup,physical;coordination,U9;U11,beginner;intermediate,4,30,6,medium,none,"Baseline to free-throw line and back: bear crawl, crab walk, frog jumps, inchworm, bunny hops, then 2 sprints.",Keep the core tight; full range of movement; land on the whole foot.,Shorter distance; skip crab walk.,Add a ball to roll with the hands during the bear crawl.,no,small_area,no,medium,,original (written for this project),,yes,,conditioning
WU12,Zig-Zag Dribble Warm-Up,warmup,physical;ballhandling,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,6,medium,cones and 1 ball each,"Cones in a zig-zag full court. Dribble to each cone and change direction with a crossover, then a spin, then a behind the back, then a between the legs on each pass.",Change of direction with the outside foot; protect with the body; accelerate out of the move.,"Only crossover, at walking pace.",Two balls; or a defender trailing with a hand up.,no,full_court,no,medium,,original (written for this project),,no,,
CO01,Agility Ladder Series,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,8,medium,agility ladder (or tape on floor),"Ladder patterns: one foot per square, two feet per square, lateral two-in, icky shuffle, hopscotch, in-in-out-out. Sprint 5 m after each pass.",Stay on the toes; arms drive; look ahead not at the feet.,"Slower patterns, walking through first.",Add a ball: dribble while doing the pattern; or catch a pass at the exit.,no,small_area,yes,low,,original (written for this project),,no,,footwork;conditioning
CO02,Jump and Land Progression,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,6,medium,cones,"Teach landing: two-foot jump and stick, single-leg hop and stick, jump over a cone and stick, jump and 90 degree turn, jump and catch a pass in the air then land.","Knees over toes, hips back, chest up on landing; hold the landing for 2 seconds; silent feet.",Lower jump height; hold on to a partner for balance.,Land and immediately react to a call (sprint left or right).,no,small_area,no,high,,original (written for this project),,no,,
CO03,Balance and Single-Leg Stations,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,6,low,balls,Single-leg stand 20s each side; single-leg stand while passing a ball around the body; single-leg stand with eyes closed; single-leg reach to touch the floor and return; single-leg while a partner passes a ball.,"Hip stable, knee soft; core tight; look at a fixed point.",Touch the toe of the free leg to the floor when needed.,Stand on a folded mat or cushion; partner pushes lightly.,no,small_area,yes,low,,original (written for this project),,no,,
CO04,Reaction Ball Drop,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,medium,1 ball per pair,"Partner holds a ball at shoulder height, 3 metres away. Drops it; the player in athletic stance must catch it after one bounce. Progress: catch before it bounces twice at a greater distance, react to a call of left or right hand.",Athletic stance ready; explode with the first step; catch with two hands.,Closer distance; two bounces allowed.,Partner holds two balls and drops one; player faces away and reacts to the sound.,no,small_area,yes,low,,original (written for this project); see also Transforming Basketball SSG Book (Tennis Ball Drops),,no,,contact;footwork;reaction
CO05,Juggling and Ball Toss Coordination,coordination,coordination;ballhandling,U9;U11;U13,beginner;intermediate,4,30,5,low,1-2 balls each,"Toss and catch with one hand, clap between; toss behind the back and catch in front; toss under the leg; with two balls, toss one and dribble the other; partner juggling passes with two balls.",Soft hands; eyes on the ball; rhythm before speed.,Use a smaller ball or tennis ball.,Two tennis balls and one basketball at once; rhythm changes on the whistle.,no,small_area,yes,low,,original (written for this project),,no,,
CO06,Footwork Square,coordination,coordination;defense,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,6,medium,4 cones per player,"Square of 4 cones (3 m sides). Player: sprint forward, shuffle right, backpedal, shuffle left. Then with turns: drop step, hip turn. Then coach points and player changes direction.",Never cross the feet on the shuffle; low hips; chest up on the backpedal.,Walk the square; bigger square.,Add a ball; add a partner giving a pass at each corner.,no,small_area,no,medium,,original (written for this project),,no,,footwork;reaction;conditioning
CO07,Sprint and Deceleration,coordination,physical;coordination,U11;U13;U14,intermediate;advanced,4,30,6,high,cones,"Sprint 10 m then stop in 2 steps at the cone with a jump stop; sprint 10 m stop with a stride stop; sprint and stop on the whistle; sprint, stop, change direction.",Decelerate with the hips low; feet wide; head over the base.,"Shorter distances, controlled stops.",Add a defender sprinting alongside; race to a loose ball.,no,small_area,no,medium,,original (written for this project),,no,,footwork;reaction;conditioning
CO08,Hurdle Hops and Bounds,coordination,coordination;physical,U11;U13;U14,intermediate;advanced,4,30,6,high,mini hurdles or cones,Two-foot hops over 5 mini hurdles; single-leg hops; lateral hops; bounding (long alternate leg jumps) 15 m; finish with a jump to touch the net or backboard.,Land quietly; minimal ground contact time; use arms.,Cones instead of hurdles; walk between reps.,"Hops then immediate sprint 5 m; or hop, land, and catch a pass.",no,small_area,no,medium,,original (written for this project),,no,,
CO09,Core Circuit,coordination,physical,U11;U13;U14,beginner;intermediate;advanced,4,30,6,medium,mats optional,"30s each: plank, side plank each side, dead bug, glute bridge, bird dog, superman hold. Two rounds for older groups.",Neutral spine; breathe; quality reps.,"20s intervals, one round.",Add ball passes with a partner during the plank.,no,small_area,yes,low,,original (written for this project),,no,,
CO10,Rhythm and Jumping Jacks Coordination,coordination,coordination,U9;U11,beginner;intermediate,4,30,5,medium,none,"Cross-body coordination: jumping jacks, cross jacks (arms and legs cross), seal jacks, then hand-foot patterns (clap when feet apart), then dribble with a rhythm called by the coach (bounce-bounce-clap).",Rhythm first; keep counting aloud; laugh when it goes wrong and try again.,"Slow tempo, one movement at a time.",Coach changes the pattern every 4 counts.,no,small_area,yes,low,,original (written for this project),,no,,contact;reaction
CO11,Speed Ladder Mirror Race,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,6,30,6,high,2 ladders or lines of cones,"Two ladders side by side. Two players race through the same pattern, then sprint to touch the half-court line and back. Winner stays on.","Fast feet, but a wrong pattern means restart.",No race; just accuracy.,Add a ball pick-up and lay-up at the end of the sprint.,no,small_area,yes,low,,original (written for this project),,yes,,conditioning
CO12,Jump Stop and Pivot Footwork,coordination,coordination;ballhandling,U9;U11;U13,beginner;intermediate,4,30,6,low,1 ball each,"Toss, catch with a jump stop, front pivot, reverse pivot; then 1-2 stop (stride stop) on either foot; then receive a pass and pivot to face the basket.","Land balanced, knees bent; pivot on the ball of the foot; protect the ball with the elbows out.",Without ball first.,Pivot against a live defender who shadows.,no,small_area,yes,medium,,original (written for this project),,no,,footwork
CO13,Relay Races with Skills,coordination,coordination;physical,U9;U11;U13,beginner;intermediate;advanced,6,20,8,high,cones and balls,"Teams of 3-4. Relay full court: dribble down and pass back, then dribble with the weak hand, then dribble and shoot until scored, then carry two balls, then crab walk 5 m and sprint.",Run through the line; hand-offs clean; cheer teammates.,Half court relays.,Penalty lap for a lost ball; add a defender at the finish.,yes,full_court,no,medium,,original (written for this project),,yes,,conditioning
CO14,Medicine Ball Partner Throws,coordination,physical,U13;U14,intermediate;advanced,4,30,6,medium,light medicine ball or basketball,"Partners 3 m apart: chest pass, overhead throw, rotational throw each side, squat and throw, chest pass on one leg.",Power from the legs and hips; catch with soft arms; reset the stance.,Use a normal basketball.,Increase the distance; add a jump before the throw.,no,small_area,yes,medium,,original (written for this project),,no,,contact
CO15,Acceleration Starts,coordination,physical,U11;U13;U14,intermediate;advanced,4,30,6,high,cones,"Starts from different positions to a 10 m sprint: standing, athletic stance, lying on the belly, kneeling, facing backwards on a call.",Push the ground; low body angle on the first 3 steps; drive the arms.,Walk-jog transitions.,React to a ball drop or a pass instead of a whistle.,no,small_area,no,high,,original (written for this project),,no,,footwork;reaction;conditioning
CO16,Hopscotch and Skipping Patterns,coordination,coordination,U9;U11,beginner;intermediate,4,30,5,medium,tape or cones,Hopscotch squares; skipping A-skips; galloping lead with each leg; side skips; then combine two patterns.,Bounce off the toes; opposite arm-leg coordination.,Slow tempo with demonstration.,Hopscotch while dribbling a ball.,no,small_area,yes,low,,original (written for this project),,yes,,
CO17,Change of Direction Shuttle,coordination,physical;coordination,U11;U13;U14,intermediate;advanced,4,30,6,high,cones,"5-10-5 shuttle: start in the middle, sprint 5 m right and touch, 10 m left and touch, 5 m back through the middle. Two rounds each, then the same with a dribble.",Plant the outside foot; low centre of mass; look where you go.,Walk-through then 70% speed.,Race a partner; add a coach cue mid-run.,no,small_area,no,medium,,original (written for this project),,no,,conditioning
CO18,Partner Reaction Chase,coordination,coordination;physical,U9;U11;U13;U14,beginner;intermediate;advanced,6,30,5,high,cones,"Pairs face each other 1 m apart on a line. One moves sideways (leader), the other mirrors. On the whistle both sprint to the baseline; the follower tries to tag the leader before the line.",Explosive first step; stay low; do not anticipate.,Walk the mirror phase.,Leader may fake the start.,no,small_area,no,medium,,original (written for this project),,yes,,reaction;conditioning
CO19,Throw-Catch Coordination Wall Drill,coordination,coordination;passing_shooting,U9;U11;U13,beginner;intermediate,4,30,5,low,wall and 1 ball each,"Facing a wall 2 m away: chest pass and catch, one-hand right, one-hand left, clap between, turn 180 and catch, overhead and catch low; count reps in 30s.",Ready hands; eyes on the ball; fingers spread.,Bigger ball or softer ball.,Two balls alternating.,no,small_area,yes,low,,original (written for this project),,no,,
CO20,Tag Games (Chain Tag),coordination,physical;coordination,U9;U11;U13,beginner;intermediate;advanced,8,30,6,high,none,"Chain tag: two taggers hold hands, every tagged player joins the chain; the chain must stay linked; last free player wins. Then freeze tag and doctor tag variations.",Use the whole space; change of pace and direction to escape.,"Smaller space, walking.",Everyone dribbles a ball while being chased.,no,small_area,no,medium,,original (written for this project),,yes,,
BH01,Stationary Ball Handling Series,ballhandling,ballhandling,U9;U11;U13;U14,beginner;intermediate;advanced,1,30,6,low,1 ball each,"30s each: pound dribble right, left, crossovers low, between the legs, behind the back, figure eight, spider dribble, scissors. Older groups add two-ball series.",Fingertips; eyes up looking at the coach; dribble below the knee on the crossover.,Slow tempo; skip behind the back and spider.,Two balls; eyes closed; add a call-and-respond with numbers.,no,small_area,yes,low,,original (written for this project); see also hoopsaddict.com — Basketball Drills for 9-Year-Olds (Maravich series),,no,,
BH02,Cone Dribble Moves Progression,ballhandling,ballhandling,U9;U11;U13;U14,beginner;intermediate;advanced,4,20,8,medium,cones and 1 ball each,"Lines of 3 cones. At each cone do the move called: crossover, in-and-out, between the legs, behind the back, hesitation, spin. Attack the basket after the last cone for a lay-up.",Sell the move with the eyes and shoulders; explode after the move; finish strong.,Only crossover and in-and-out; no shot.,Combine two moves at each cone; coach becomes a live defender at the last cone.,yes,half_court,no,medium,,original (written for this project),,no,,finishing;reaction
BH03,Dribble Knockout,ballhandling,ballhandling;game,U9;U11;U13;U14,beginner;intermediate;advanced,6,30,6,high,1 ball each,Everyone dribbles in a marked area; players try to knock other balls away while protecting their own. Lose the ball and you dribble 20 crossovers outside before re-entering. Shrink the area every minute.,Head up; low stance; protect with the off arm and the body.,No knocking out; just avoid contact.,Weak hand only; two balls each.,no,small_area,no,medium,,original (written for this project),,yes,,
BH04,Full-Court Dribble Waves,ballhandling,ballhandling;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,7,medium,1 ball each,"Waves of 4 full court: speed dribble, then change of pace at each line, then crossover at each line, then retreat dribble and attack, then weak hand only.",Push the ball ahead to speed dribble; change pace sharply; stay low when retreating.,"Half court, one move.",Add a chasing defender one step behind.,no,full_court,no,medium,,original (written for this project),,no,,transition
BH05,1v1 Dribble Tag in the Lane,ballhandling,ballhandling;defense,U11;U13;U14,intermediate;advanced,4,30,6,high,1 ball per pair,Pairs in the paint or a 3x3 m square. Offence dribbles and tries to touch the defender with the free hand while keeping the dribble; defender avoids and tries to poke the ball. 30s bouts.,Keep the dribble alive; use the body to shield; quick hands on defence.,Bigger area; no steal allowed.,Both players have a ball and try to tag each other.,no,small_area,no,medium,,original (written for this project); see also Transforming Basketball SSG Book (1-on-1 Sumo),,yes,,contact;1v1
BH06,Partner Mirror Dribble,ballhandling,ballhandling;coordination,U9;U11;U13,beginner;intermediate,4,30,5,medium,1 ball each,"Pairs face each other on a line; the leader dribbles and performs moves (crossover, between the legs, spin, low dribble, high dribble), the partner mirrors while dribbling. Switch on the whistle.",Eyes on the partner not the ball; react quickly; keep the rhythm.,Leader stands still.,Leader moves sideways and forward; follower must stay in front.,no,small_area,yes,low,,original (written for this project); see also Transforming Basketball SSG Book (Mirror Dribbling),,yes,,reaction
BH07,Chair Dribble Attack,ballhandling,ballhandling;passing_shooting,U11;U13;U14,intermediate;advanced,4,16,8,medium,chairs or cones and balls,"Chair at the elbow. Player dribbles at the chair, executes a move (crossover, hesitation, in-and-out) and finishes: lay-up, then pull-up, then floater. Both sides.",Attack the chair at speed; make the move one step before; finish with the correct foot.,Cone instead of chair; only lay-ups.,Coach at the chair as a live defender; add a helping defender on the second move.,yes,half_court,no,medium,,original (written for this project); see also hoopdrills.org (credited to Breakthrough Basketball) (Chair drills),,no,dribble_drive,finishing
BH08,Two-Ball Dribbling,ballhandling,ballhandling;coordination,U11;U13;U14,intermediate;advanced,1,30,6,medium,2 balls each,"Stationary: same time, alternating, one high one low, one crossover one pound. Then walking, then jogging full court, then with a cone change of direction.",Pound both balls hard; eyes up; rhythm consistent.,Stationary only.,Add a partner calling a hand to switch the pattern.,no,small_area,yes,low,,original (written for this project),,no,,transition
BH09,Dribble Relay Obstacle Course,ballhandling,ballhandling;coordination,U9;U11,beginner;intermediate,6,20,8,high,cones hoops chairs,"Course around the gym: dribble around cones, through a hoop, over a line with a jump stop, around a chair with a spin, finish with a lay-up. Teams race, one at a time.",Control the ball first; lost ball means go back to the last cone.,Walk the course first.,Time each team; weak hand only.,yes,full_court,no,medium,,original (written for this project),,yes,,finishing;footwork;conditioning
BH10,Change of Pace Lanes,ballhandling,ballhandling,U11;U13;U14,intermediate;advanced,4,30,6,medium,cones and 1 ball each,"Lane of cones every 4 m. Between cones alternate slow-slow-fast, then hesitation dribble at each cone, then stutter step and go.",Sell the slow with the shoulders and eyes; explode from a low position.,Walk-jog changes only.,Defender alongside who must stay level.,no,small_area,no,medium,,original (written for this project),,no,,
BH11,Protect the Ball 1v1 Square,ballhandling,ballhandling;defense,U9;U11;U13,beginner;intermediate,4,30,6,medium,cones and 1 ball per pair,3x3 m square. Offence keeps the dribble alive for 20s while the defender tries to steal (no reaching across the body). Count seconds survived. Switch.,Body between ball and defender; low and wide; change hands only when protected.,Defender can only shadow.,Two defenders; 1v1 to a cone.,no,small_area,no,medium,,original (written for this project); see also Transforming Basketball SSG Book (1-on-1 Sumo),,yes,,contact;1v1
BH12,Dribble Hand-Signal Drill,ballhandling,ballhandling;coordination,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,low,1 ball each,"Players dribble facing the coach; the coach shows a number of fingers, players shout it; then the coach points a direction and players move that way; then the coach shows a move to copy.",Eyes forward always; peripheral vision on the ball.,Stationary only.,Two balls; coach shows two signals in sequence.,no,small_area,no,high,,original (written for this project),,yes,,reaction
BH13,Lay-Up Dribble Finishes,ballhandling,ballhandling;passing_shooting,U9;U11;U13;U14,beginner;intermediate;advanced,4,16,8,medium,balls,"From the wing, dribble to the basket and finish: strong hand lay-up, weak hand lay-up, reverse lay-up, jump stop and power lay-up, Euro step for older groups. Rebound and switch side.",Long last two steps; eyes on the target square; use the backboard.,"Start from the free-throw line, walking.",Add a trailing defender or a coach with a pad bumping.,yes,half_court,no,medium,,original (written for this project),,no,,rebounding;finishing;footwork
BH14,Retreat Dribble and Attack,ballhandling,ballhandling;team_concepts,U11;U13;U14,intermediate;advanced,4,30,6,medium,1 ball each and cones,"Dribble at a cone (trap), retreat dribble two steps keeping the ball on the outside hand, crossover and attack the next cone. Then live with a defender jumping at the ball.",Retreat low and fast; ball on the hip away from the defender; attack immediately after.,"Cones only, no defender.",Two defenders trapping.,no,small_area,no,medium,,original (written for this project),,no,,
BH15,Dribble Rhythm to Music or Count,ballhandling,ballhandling;coordination,U9;U11,beginner;intermediate,4,30,5,low,1 ball each,"Coach counts or claps a rhythm; players match the dribble to the rhythm: slow, fast, two fast one slow, cross on the clap.",Listen; fingertips; keep the head up.,Simple rhythms only.,Two balls with different rhythms in each hand.,no,small_area,yes,low,,original (written for this project),,no,,
BH16,Full-Court 1v1 Dribble Pressure,ballhandling,ballhandling;defense,U13;U14,intermediate;advanced,4,16,8,high,balls,Offence must bring the ball full court against a live defender within 8 seconds and finish with a lay-up. Defender tries to turn the dribbler at least twice. Switch.,Change of pace; protect the ball; get the ball across half court quickly.,Defender plays half speed; half court only.,Two defenders trapping at half court.,yes,full_court,no,medium,,original (written for this project),,no,,finishing;1v1;transition
BH17,Dribble Moves Mirror Shadow,ballhandling,ballhandling;defense,U11;U13;U14,intermediate;advanced,4,30,5,medium,1 ball per pair,"Offence dribbles sideways along a line with moves; defender shadows without stealing, staying in front. Switch after 30s.","Offence: use the dribble to move the defender; defence: slide, stay low.",Walking speed.,Defender may steal; offence scores on reaching the sideline.,no,small_area,no,medium,,original (written for this project),,no,,
BH18,Dribble and Pass Combination Lanes,ballhandling,ballhandling;passing_shooting,U9;U11;U13;U14,beginner;intermediate;advanced,6,30,7,medium,balls and cones,"Two lines: player dribbles to a cone, makes a move, passes to the partner cutting, receives back and finishes. Rotate. Vary the pass (bounce, chest, one hand).",Pass off the dribble without picking the ball up; lead the cutter.,Stationary partner.,Add a defender on the passer.,no,small_area,no,medium,,original (written for this project),,no,,finishing;passing;spacing
BH19,Speed Dribble Race,ballhandling,ballhandling;physical,U9;U11;U13;U14,beginner;intermediate;advanced,4,30,5,high,1 ball each,"Full court race: speed dribble strong hand, back weak hand. Then race with a crossover at each line. Loser of each pair does 5 crossovers.",Push the ball out ahead; few dribbles; eyes on the far basket.,Half court.,Race with two balls.,no,full_court,no,medium,,original (written for this project); see also Transforming Basketball SSG Book (Push-Out Races),,yes,,transition;conditioning
BH20,Dribble Around the Body Chair Circuit,ballhandling,ballhandling,U9;U11;U13,beginner;intermediate,4,30,6,medium,chairs or cones and balls,"Stations: dribble around a chair keeping the ball low, figure-8 around two chairs, spin move at a chair, hesitation at a chair. 60s per station.",Low dribble; body between the chair and the ball; quick feet.,Slow pace.,Time limit per station with count of successful moves.,no,small_area,yes,low,,original (written for this project),,no,,
BH21,Escape Dribble Under Pressure,ballhandling,ballhandling;defense,U11;U13;U14,intermediate;advanced,6,16,7,high,balls,"Offence at the free-throw line with a live defender; must dribble out of a 4 m zone within 4 seconds using an escape move (cross, spin, behind the back). Then finish 1v1.",Read the defender's lead foot; use the move to create space; go.,Defender is passive for 2 seconds.,Two defenders; must escape and pass to a teammate.,yes,half_court,no,medium,,original (written for this project),,yes,dribble_drive,finishing;1v1
BH22,Weak Hand Only Practice,ballhandling,ballhandling,U9;U11;U13;U14,beginner;intermediate;advanced,1,30,5,low,1 ball each,"5 minutes only with the weak hand: pounds, walking, jogging, change of direction with the weak hand, weak hand lay-up.",Keep the strong hand behind the back; fingertips; be patient.,Stationary.,Add a defender.,no,small_area,yes,low,,original (written for this project),,no,,finishing
PS01,Chest and Bounce Pass Fundamentals,passing_shooting,passing_shooting,U9;U11,beginner;intermediate,4,30,6,low,1 ball per pair,"Pairs 3-4 m apart: chest pass, bounce pass, overhead pass, 10 each; then step to the pass; then pass and cut to a cone; then the partner moves and you pass to the moving target.",Thumbs down and out; step into the pass; target hands ready; bounce pass lands two thirds of the way.,Closer distance.,One-hand push passes; passing off the dribble.,no,small_area,yes,low,,original (written for this project); see also hoopsaddict.com — Basketball Drills for 9-Year-Olds,,no,,passing;spacing
PS02,Star Passing,passing_shooting,passing_shooting;coordination,U11;U13;U14,intermediate;advanced,10,20,7,medium,2 balls,Five lines in a star; pass to the second line clockwise and follow the pass; add a second ball; add a lay-up at the end.,Call the name of the receiver; pass and go; ready hands.,Four lines square without following.,Three balls; alternate pass types.,yes,half_court,no,medium,,original (written for this project),,no,,finishing;passing
PS03,Pass and Cut Three Man Weave,passing_shooting,passing_shooting;team_concepts,U11;U13;U14,intermediate;advanced,6,15,8,medium,balls,Three-player weave full court finishing with a lay-up; return with a two-on-one against the shooter as defender.,Pass ahead of the runner; sprint behind the receiver; communicate.,Half court walking.,Weave with two balls; 3v2 back.,yes,full_court,no,medium,,original (written for this project),,no,,finishing;passing;shooting;transition
PS04,Lay-Up Lines Both Sides,passing_shooting,passing_shooting,U9;U11;U13;U14,beginner;intermediate;advanced,6,20,8,medium,2 balls,Two lines at the wings: shooting line and rebounding line. Dribble in for a lay-up; rebounder passes to the next. Switch sides every 2 minutes; count team makes.,Take off from the inside foot; high knee; aim for the top corner of the square.,"Start closer; no dribble, one step.",Reverse lay-ups; add a defender chasing.,yes,half_court,no,medium,,original (written for this project),,yes,,rebounding;finishing;passing;shooting
PS05,Form Shooting Progression,passing_shooting,passing_shooting,U9;U11;U13;U14,beginner;intermediate;advanced,1,20,7,low,balls,"Close to the basket: one-hand shooting form, then two hands, then from 5 spots around the key at short range; make 5 from each. Older players: add a step back.",Elbow under the ball; wrist snap; hold the follow-through; feet shoulder width and toes to the basket.,Shoot to a partner instead of the basket to focus on form.,Shoot from the elbows; hold the follow-through until the ball hits.,yes,half_court,no,high,,original (written for this project); see also hoopsaddict.com — Basketball Drills for 9-Year-Olds,,no,,shooting
PS06,Spot Shooting with Partner Passes,passing_shooting,passing_shooting,U11;U13;U14,intermediate;advanced,4,16,8,medium,1 ball per pair,"Pairs: shooter moves between 3 spots, passer rebounds and passes on the move; shooter catches, squares and shoots. 10 shots then switch. Score makes.",Catch with feet ready (hop or 1-2 step); square shoulders; shoot on balance.,Shorter range; stationary catch.,Add a closeout defender; shot fake and one dribble.,yes,half_court,no,medium,,original (written for this project),,no,,rebounding;passing;shooting
PS07,Two-Line Passing Full Court,passing_shooting,passing_shooting;physical,U9;U11;U13;U14,beginner;intermediate;advanced,6,30,6,medium,1 ball per pair,"Pairs run full court exchanging passes, no dribble allowed; finish with a lay-up. Vary: chest, bounce, one-hand, no-look, pass ahead.",Lead the runner; catch in stride; call for the ball.,Jog.,Add a defender in the middle trying to intercept.,yes,full_court,no,medium,,original (written for this project),,no,,finishing;passing;transition
PS08,Monkey in the Middle 3v1,passing_shooting,passing_shooting;team_concepts,U9;U11;U13,beginner;intermediate,4,30,6,medium,1 ball per group,"Three passers in a triangle, one defender in the middle. Passers may move one step to create angles; the defender tries to touch the ball; 5 clean passes is a point. Rotate defender on a deflection.",Fake a pass to make a pass; pass away from the defender's hands; move without the ball.,Defender cannot move.,Two defenders; passers may not dribble.,no,small_area,no,medium,,original (written for this project); see also hoopsaddict.com — Basketball Drills for 9-Year-Olds; hoopdrills.org (credited to Breakthrough Basketball),,yes,,passing
PS09,Free Throw Routine and Pressure,passing_shooting,passing_shooting,U11;U13;U14,beginner;intermediate;advanced,2,20,6,low,balls,"Each player shoots free throws in pairs; build a routine (bounce, breathe, shoot). Then pressure: the team must make a target number in a row or runs a lap.",Same routine every time; legs power the shot; eyes on the front of the rim.,Move closer to the basket.,Shoot one after a sprint; team consequences.,yes,half_court,no,medium,,original (written for this project),,no,,shooting
